,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
オランダ,417.66,431.59,473.53,579.93,658.08,685.73,733.99,848.66,951.77,870.57,848.07,905.11,839.46,877.19,892.40,765.65,783.84,833.58,914.46,910.30,909.07,1013.52,993.68,1080.88,1135.12,1175.50,1214.30,1251.47,1284.13
ニュージーランド,54.13,53.13,62.06,82.41,101.60,113.26,109.74,134.88,135.37,121.70,145.36,166.94,175.04,187.14,200.16,176.21,185.90,203.56,209.62,210.83,210.09,249.31,241.94,251.97,251.40,260.37,272.82,286.60,301.36
ナイジェリア,67.82,73.13,93.98,102.94,130.35,169.65,222.79,262.22,330.26,297.46,369.06,414.10,460.95,514.97,568.50,492.44,404.65,375.75,421.74,448.12,429.42,441.42,477.38,506.60,553.67,625.36,708.37,805.32,915.63
ノルウェー,171.46,174.24,195.92,229.39,265.27,309.98,346.91,402.65,464.92,387.97,431.05,501.36,512.78,526.01,501.74,388.16,370.96,401.75,439.79,408.74,367.63,490.29,579.27,554.11,564.40,571.70,573.27,582.12,591.43
オマーン,22.26,22.21,23.07,24.73,28.38,35.51,42.58,48.30,69.81,55.45,64.99,77.50,87.41,89.94,92.70,78.71,75.13,80.86,91.51,88.06,73.97,88.19,114.67,104.90,109.69,112.32,115.58,119.53,123.94
ペルー,50.41,51.03,53.95,58.54,66.13,74.23,87.46,102.19,121.25,121.76,148.95,170.92,193.10,202.58,202.88,192.03,195.46,215.68,226.80,232.35,205.82,225.94,242.40,268.24,279.46,292.89,306.95,321.48,336.74
フィリピン,83.67,78.92,84.31,87.04,95.00,107.42,127.65,155.98,181.01,176.13,208.37,234.22,261.92,283.90,297.48,306.45,318.63,328.48,346.84,376.82,361.75,394.09,404.26,440.90,475.65,512.01,551.12,593.71,640.18
ポーランド,171.61,190.81,199.07,217.83,255.29,306.30,344.63,429.02,533.60,439.79,475.70,524.37,495.23,515.76,539.21,476.79,469.65,524.78,588.80,595.97,599.46,679.52,688.30,748.89,800.48,864.36,920.31,971.47,1003.03
ポルトガル,118.66,121.61,134.70,165.19,189.30,197.36,208.77,240.52,263.39,244.40,238.31,245.08,216.36,226.44,229.96,199.41,206.37,221.28,242.42,240.01,228.85,254.15,252.38,267.72,277.81,288.96,299.59,309.93,318.60
カタール,18.09,17.50,19.33,23.72,30.65,44.64,58.63,75.99,112.62,88.20,119.71,167.78,186.83,198.73,206.23,161.74,151.73,161.10,183.34,176.37,144.41,179.68,225.48,219.57,225.67,237.34,247.67,257.57,267.84
ルーマニア,37.45,40.40,46.04,57.79,75.06,98.55,122.11,174.83,215.57,174.56,170.29,192.84,179.24,189.83,199.98,177.88,185.33,210.53,243.50,250.99,251.70,285.61,301.85,348.90,376.67,405.20,429.65,450.93,469.62
ロシア,278.26,328.48,370.06,461.52,633.29,817.72,1060.90,1393.42,1779.11,1307.93,1633.11,2046.62,2191.48,2288.43,2048.84,1356.70,1280.65,1575.14,1653.01,1695.72,1488.12,1836.63,2215.29,2062.65,2118.25,2159.05,2206.01,2234.73,2266.26
サウジアラビア,189.52,184.14,189.61,215.81,258.74,328.21,376.40,415.69,519.80,429.10,528.21,676.64,741.85,753.86,766.61,669.49,666.00,714.99,846.58,838.57,734.27,868.59,1108.15,1061.90,1082.08,1120.11,1161.99,1207.51,1256.78
シンガポール,96.08,89.79,92.54,97.65,115.03,127.81,148.63,180.94,193.62,194.15,239.81,279.36,295.09,307.58,314.86,308.00,319.03,343.27,376.87,376.84,348.39,423.80,466.79,515.55,537.26,561.34,586.84,613.42,641.32
南アフリカ,151.86,135.53,129.39,197.02,256.19,288.75,304.06,332.65,316.49,331.18,417.32,458.71,434.40,400.88,381.20,346.66,323.49,381.32,403.99,388.45,337.52,418.91,405.71,399.02,415.25,430.00,443.57,456.74,468.56
スペイン,598.63,627.83,708.26,907.26,1068.57,1154.35,1260.47,1474.18,1631.69,1489.85,1423.27,1480.45,1325.59,1355.60,1372.17,1196.28,1233.22,1312.78,1422.35,1394.47,1275.94,1428.33,1400.52,1492.43,1560.05,1617.66,1668.55,1716.11,1753.51
スーダン,13.13,15.72,18.14,21.36,26.65,35.18,45.26,59.44,64.83,54.81,65.72,66.45,48.95,52.89,60.73,64.53,64.89,48.91,33.43,33.56,34.41,34.74,49.42,46.71,42.14,42.86,43.95,45.77,54.84
スウェーデン,262.83,242.40,266.85,334.34,385.12,392.22,423.09,491.26,517.71,436.54,495.81,574.09,552.48,586.84,581.96,505.10,515.66,541.02,555.46,533.88,547.05,636.86,585.94,599.05,615.49,636.85,655.41,677.41,698.96
スイス,279.17,286.70,309.50,362.13,403.44,418.05,441.64,490.81,566.96,553.72,598.23,715.64,686.37,706.40,726.68,693.94,687.55,695.26,725.77,721.82,739.02,799.71,807.23,869.60,915.85,954.40,1005.77,1048.67,1106.48
