,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
オマーン,"9,266.36","9,088.21","9,285.34","9,792.64","11,042.53","13,563.46","15,946.36","17,716.42","25,061.26","19,235.88","21,677.79","23,518.57","24,129.01","23,328.49","23,219.69","18,924.97","17,020.39","17,731.85","19,885.10","19,069.31","16,640.43","19,479.40","24,772.46","21,960.08","22,250.32","22,078.23","22,014.65","22,059.39","22,164.12"
ペルー,"1,940.24","1,935.55","2,017.77","2,159.74","2,408.09","2,669.21","3,106.72","3,587.80","4,209.04","4,179.71","5,055.52","5,736.12","6,407.63","6,647.52","6,584.00","6,164.22","6,207.43","6,776.89","7,051.59","7,006.34","6,145.03","6,678.85","7,094.45","7,772.96","8,017.96","8,320.05","8,633.37","8,952.29","9,284.51"
フィリピン,"1,087.29","1,003.96","1,050.30","1,062.62","1,137.07","1,261.24","1,470.83","1,764.68","2,011.63","1,923.67","2,237.16","2,473.25","2,721.25","2,903.19","2,995.50","3,039.23","3,107.65","3,153.31","3,279.52","3,512.20","3,325.84","3,576.10","3,623.39","3,905.48","4,166.35","4,437.64","4,726.38","5,038.06","5,375.20"
ポーランド,"4,485.06","4,987.86","5,205.52","5,699.56","6,684.68","8,023.92","9,031.80","11,252.86","13,999.50","11,532.28","12,510.81","13,776.57","13,010.54","13,550.39","14,183.12","12,545.19","12,369.89","13,819.83","15,504.37","15,694.59","15,792.61","17,957.82","18,279.51","19,912.63","21,315.36","23,055.44","24,596.00","26,015.54","26,914.51"
ポルトガル,"11,531.47","11,734.88","12,927.58","15,793.85","18,055.89","18,790.56","19,840.47","22,813.67","24,946.26","23,126.18","22,539.04","23,213.13","20,576.83","21,653.51","22,109.32","19,252.02","19,986.36","21,482.83","23,573.30","23,333.32","22,224.57","24,694.11","24,522.08","26,012.55","26,992.94","28,147.61","29,256.55","30,343.24","31,271.69"
カタール,"30,461.31","28,600.03","30,701.13","35,919.76","42,548.12","54,357.78","60,591.78","65,934.27","72,484.63","53,822.91","69,796.14","96,827.86","101,933.12","99,180.39","93,054.14","66,346.91","57,965.38","59,127.51","66,421.62","63,007.70","53,797.94","68,621.64","84,424.83","83,891.03","87,092.53","92,519.40","97,522.56","102,446.30","107,607.82"
ルーマニア,"1,667.61","1,800.97","2,108.45","2,672.06","3,487.70","4,608.80","5,744.63","8,273.89","10,446.48","8,540.19","8,391.05","9,546.75","8,919.36","9,481.98","10,025.46","8,951.74","9,378.96","10,717.26","12,465.70","12,928.15","13,021.96","14,874.18","15,851.14","18,530.49","20,175.41","21,893.96","23,398.23","24,749.13","25,974.38"
ロシア,"1,901.96","2,255.25","2,552.79","3,197.57","4,403.96","5,708.84","7,426.01","9,761.37","12,464.24","9,156.97","11,431.15","14,306.43","15,287.97","15,928.70","14,007.51","9,257.94","8,723.52","10,724.00","11,261.72","11,555.27","10,180.67","12,617.86","15,443.83","14,403.57","14,820.83","15,139.89","15,507.65","15,752.42","16,021.71"
サウジアラビア,"9,256.54","8,778.38","8,822.52","9,800.51","11,467.10","14,068.23","15,603.99","16,666.63","20,157.30","16,094.68","19,163.32","23,845.03","25,409.39","25,658.98","25,555.99","21,672.67","20,951.56","21,923.71","25,336.46","24,506.44","20,971.15","25,463.65","31,849.73","29,922.09","29,892.71","30,336.64","30,853.90","31,433.83","32,075.01"
シンガポール,"23,852.83","21,699.75","22,159.83","23,730.38","27,608.08","29,961.31","33,768.45","39,432.90","40,008.58","38,926.81","47,236.67","53,891.46","55,547.55","56,967.43","57,564.80","55,645.61","56,895.64","61,164.90","66,836.54","66,070.47","61,274.01","77,710.07","82,807.65","91,100.37","94,594.57","98,379.46","102,373.12","106,497.94","110,840.87"
