,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
イタリア,56.924,56.961,56.993,57.186,57.612,58.044,58.289,58.511,59.002,59.421,59.69,59.948,60.105,60.277,60.346,60.295,60.164,60.067,59.938,59.817,59.641,59.03,58.98,58.941,58.912,58.895,58.874,58.849,58.82
ジャマイカ,2.582,2.605,2.62,2.629,2.639,2.648,2.658,2.667,2.677,2.686,2.696,2.703,2.71,2.713,2.716,2.719,2.722,2.726,2.731,2.734,2.737,2.74,2.743,2.747,2.75,2.753,2.756,2.759,2.762
日本,126.831,127.132,127.4,127.634,127.734,127.752,127.746,127.757,127.692,127.551,127.594,127.831,127.552,127.333,127.12,126.978,126.96,126.746,126.495,126.221,125.849,125.507,125.171,124.621,124.04,123.43,122.795,122.136,121.456
カザフスタン,14.866,14.851,14.867,14.951,15.075,15.219,15.397,15.572,15.982,16.203,16.441,16.674,16.91,17.161,17.416,17.67,17.918,18.157,18.396,18.632,18.877,19.503,19.737,19.964,20.184,20.396,20.61,20.816,21.024
ケニア,29.5,30.3,31.1,32,32.9,33.8,34.7,35.7,36.7,37.7,38.6,39.5,40.4,41.4,42.4,43.3,44.3,45.4,46.5,47.6,48.693,49.801,50.924,52.062,53.216,54.384,55.567,56.765,57.977
韓国,47.008,47.37,47.645,47.892,48.083,48.185,48.438,48.684,49.055,49.308,49.554,49.937,50.2,50.429,50.747,51.015,51.218,51.362,51.585,51.765,51.836,51.745,51.635,51.565,51.505,51.455,51.405,51.355,51.305
クウェート,2.217,2.309,2.42,2.547,2.754,2.991,3.183,3.4,3.442,3.485,3.582,3.697,3.807,3.892,4.039,4.183,4.329,4.438,4.622,4.776,4.671,4.736,4.815,4.895,4.977,5.06,5.145,5.23,5.318
マレーシア,23.495,24.123,24.727,25.32,25.905,26.477,26.832,27.1,27.6,28.082,28.589,29.062,29.51,30.214,30.709,31.186,31.634,32.023,32.382,32.523,32.584,32.58,32.993,33.404,33.809,34.205,34.591,34.967,35.333
モルディブ,0.27,0.276,0.281,0.285,0.289,0.294,0.299,0.305,0.31,0.315,0.32,0.325,0.331,0.336,0.342,0.348,0.354,0.36,0.366,0.372,0.378,0.384,0.391,0.397,0.404,0.411,0.418,0.425,0.432
メキシコ,98.785,100.105,101.494,102.89,104.272,105.669,107.155,108.745,110.405,112.095,113.749,115.367,116.936,118.454,119.936,121.348,122.715,124.042,125.328,126.578,127.792,128.972,130.118,131.23,132.308,133.352,134.363,135.34,136.324
モロッコ,28.283,28.666,29.051,29.438,29.826,30.215,30.606,30.998,31.391,31.786,32.182,32.579,32.978,33.378,33.77,34.125,34.487,34.852,35.22,35.587,35.952,36.313,36.67,37.022,37.37,37.712,38.05,38.381,38.706
ミャンマー,45.585,46.126,46.59,46.977,47.304,47.598,47.887,48.186,48.496,48.818,49.159,49.521,49.909,50.324,50.758,51.199,51.633,52.05,52.449,52.832,53.199,53.55,53.886,54.205,54.506,54.789,55.054,55.301,55.53
ナミビア,1.828,1.83,1.86,1.891,1.923,1.957,1.992,1.994,2.024,2.054,2.085,2.116,2.155,2.196,2.238,2.281,2.324,2.369,2.414,2.459,2.504,2.55,2.597,2.644,2.692,2.742,2.792,2.843,2.895
ネパール,24.56,24.956,25.332,25.683,26.004,26.285,26.519,26.714,26.882,27.027,27.162,27.266,27.331,27.382,27.462,27.61,27.861,28.183,28.507,28.832,29.349,29.748,30.152,30.562,30.978,31.399,31.826,32.259,32.698
オランダ,15.864,15.987,16.105,16.193,16.258,16.306,16.334,16.358,16.405,16.486,16.575,16.656,16.73,16.78,16.829,16.901,16.979,17.082,17.181,17.282,17.408,17.475,17.591,17.691,17.761,17.811,17.861,17.911,17.961
ニュージーランド,3.86,3.887,3.951,4.028,4.089,4.136,4.185,4.226,4.262,4.305,4.353,4.386,4.411,4.447,4.52,4.613,4.717,4.815,4.902,4.986,5.086,5.111,5.125,5.16,5.2,5.241,5.281,5.322,5.363
ナイジェリア,122.284,125.394,128.596,131.901,135.32,138.865,142.538,146.34,150.27,154.325,158.503,162.805,167.229,171.766,176.405,181.137,185.96,190.873,195.875,200.964,206.14,211.401,216.747,222.182,227.713,233.343,239.073,244.902,250.83
ノルウェー,4.489,4.511,4.535,4.562,4.587,4.618,4.655,4.7,4.762,4.82,4.882,4.946,5.011,5.072,5.132,5.184,5.232,5.273,5.309,5.342,5.375,5.402,5.448,5.481,5.513,5.547,5.58,5.613,5.647
オマーン,2.402,2.443,2.484,2.526,2.57,2.618,2.67,2.726,2.785,2.883,2.998,3.295,3.623,3.855,3.992,4.159,4.414,4.56,4.602,4.618,4.445,4.527,4.629,4.777,4.93,5.088,5.25,5.418,5.592
パキスタン,142.24,145.17,148.07,151.78,154.78,157.75,160.69,163.59,170.3,173.94,177.61,181.31,185.04,188.78,192.57,196.37,200.19,205.17,209.75,213.95,218.24,222.59,227.027,231.552,236.167,240.875,245.676,250.573,255.567
ペルー,25.984,26.367,26.739,27.103,27.46,27.811,28.151,28.482,28.807,29.132,29.462,29.798,30.136,30.475,30.814,31.152,31.489,31.826,32.162,33.162,33.494,33.829,34.167,34.509,34.854,35.202,35.554,35.91,36.269
フィリピン,76.95,78.61,80.27,81.91,83.55,85.17,86.79,88.39,89.98,91.56,93.14,94.7,96.25,97.79,99.31,100.83,102.53,104.17,105.76,107.29,108.77,110.2,111.57,112.893,114.164,115.378,116.605,117.845,119.099
ポーランド,38.263,38.254,38.242,38.219,38.191,38.174,38.157,38.125,38.116,38.136,38.023,38.063,38.064,38.063,38.018,38.006,37.967,37.973,37.977,37.973,37.958,37.84,37.654,37.609,37.554,37.49,37.417,37.342,37.267
ポルトガル,10.29,10.363,10.42,10.459,10.484,10.503,10.522,10.543,10.558,10.568,10.573,10.558,10.515,10.457,10.401,10.358,10.326,10.3,10.284,10.286,10.297,10.292,10.292,10.292,10.292,10.266,10.24,10.214,10.188
カタール,0.594,0.612,0.63,0.66,0.72,0.821,0.968,1.152,1.554,1.639,1.715,1.733,1.833,2.004,2.216,2.438,2.618,2.725,2.76,2.799,2.684,2.618,2.671,2.617,2.591,2.565,2.54,2.514,2.489
ルーマニア,22.455,22.43,21.833,21.628,21.521,21.382,21.257,21.131,20.635,20.44,20.295,20.199,20.096,20.02,19.947,19.871,19.761,19.644,19.533,19.414,19.329,19.202,19.042,18.829,18.67,18.508,18.363,18.22,18.08
